Item,Type,Price (THB),Price (CNY),Note
Air tickets,Air ticket,15380,3132,ฟ้าใสออกไปก่อน
โรงแรม (1700 THB/Night),Hotel,5100,1039,แคมป์ออกไปก่อน
ประกันการเดินทาง CHUBB,Other,500,102,
Esim - Best จีน Unlimited,Other,650,132,
DiDi เข้าเมือง + ไปสนามบิน,Car,491,100,
DiDi ในเมือง,Car,491,100,
หอสักการะฟ้าเทียนถัน (Temple of Heaven),Ticket,137,28,
Lama Temple (วัดยงเหอกง),Ticket,123,25,
พระราชวังฤดูร้อน (Summer Palace),Ticket,295,60,
4h 30m Group Tour: พระราชวังต้องห้าม (Forbidden City),Group Tour,1000,204,
Universal Studios Beijing,Ticket,2455,500,
"1Day Trip: เมืองน้ำกู่เป่ย (Gubei Water Town) และ กำแพงเมืองจีนด่านซือหม่าไถ (Simatai)",Group Tour,1600,326,
